"ID","Is Private","Is Attachments Folder","File URL","Attached To DocType","File Size","Thumbnail URL","File Name"
"9815f6c5ed",0,0,"/files/Salihou Hamadou_cv.pdf","User",237721,"","Salihou Hamadou_cv.pdf"
"0d4ec560b5",0,0,"/files/Mvogo Yannick Patrick_cv.pdf","User",349243,"","Mvogo Yannick Patrick_cv.pdf"
"4aff660577",0,0,"/files/bssie augustin_cv.pdf","User",263733,"","bssie augustin_cv.pdf"
"7a20421f20",1,0,"/private/files/Bossambo Ehab_cv.pdf","User",814049,"","Bossambo Ehab_cv.pdf"
"f15459694c",0,0,"/files/RANDRIANIAINA Heritiana Alexis_cv.pdf","User",345061,"","RANDRIANIAINA Heritiana Alexis_cv.pdf"
"f67fe11186",0,0,"/files/Kolwe kolyan anicet parfait_cv.pdf","User",205972,"","Kolwe kolyan anicet parfait_cv.pdf"
"d19e3b9372",0,0,"/files/firmbee-com-jrh5lAq-mIs-unsplash_20.jpg","Course",61276,"","firmbee-com-jrh5lAq-mIs-unsplash_20.jpg"
"d331cf9e58",0,0,"/files/austin-distel-744oGeqpxPQ-unsplash_50.jpg","Course",685471,"","austin-distel-744oGeqpxPQ-unsplash_50.jpg"
"74ec1ba839",0,0,"/files/calculator-385506_1920.jpg","Program",155639,"","calculator-385506_1920.jpg"
"69770fcb24",1,0,"/private/files/Programe2dd50.csv","Data Import",6568,"","Programe2dd50.csv"
"c5bc59b1a5",1,0,"/private/files/Course76e4fb.csv","Data Import",13679,"","Course76e4fb.csv"
"60b31abcde",0,0,"/files/WhatsApp Image 2022-04-28 at 6.54.45 PM (1).jpeg","User",0,"","WhatsApp Image 2022-04-28 at 6.54.45 PM (1).jpeg"
"92ba4c6a87",0,0,"/files/WhatsApp Image 2022-04-28 at 6.54.45 PM (1).jpeg","",41366,"","WhatsApp Image 2022-04-28 at 6.54.45 PM (1).jpeg"
"6b7af1cb13",1,0,"/private/files/Program2.csv","Data Import",7364,"","Program2.csv"
"4794fb9885",0,0,"/files/social_media.jpg","Course",266597,"","social_media.jpg"
"1ed114515c",0,0,"/files/businessman-2606506_1920.jpg","Course",414585,"","businessman-2606506_1920.jpg"
"1c1d0ec6bb",0,0,"/files/representant.jpg","Course",257516,"","representant.jpg"
"67cdc8cbad",1,0,"/private/files/Program (1).csv","Data Import",7383,"","Program (1)30fb1b.csv"
